product_category,transport_mode,weather_condition,distance_km,shipment_weight,shipment_volume,traffic_index,route_complexity_score,number_of_stops,driver_experience_years,origin_warehouse_load,destination_warehouse_load,processing_time_hours,fuel_price,holiday_flag,strike_flag,dispatch_delay_hours,handling_issues_count,documentation_delay_flag,delay_duration_hours
Pharma,Road,Storm,1507.23,75.92,0.28,8.15,3.68,1,11.0,0.3,0.95,39.06,78.22,0,0,17.93,0,0,110.09
Electronics,Air,Clear,1957.21,256.36,2.84,1.02,3.37,7,10.05,0.76,0.43,35.21,108.13,0,0,8.24,1,0,72.17
Electronics,Road,Fog,1341.39,436.38,2.98,2.85,8.92,4,16.42,0.33,1.01,23.04,76.85,0,0,13.65,2,0,91.42
Food,Rail,Fog,2389.47,295.34,2.02,6.72,9.08,1,2.95,1.21,0.76,14.7,106.42,0,0,14.85,2,0,103.02
Pharma,Road,Clear,393.02,436.46,0.28,1.92,1.31,5,11.29,1.03,1.17,9.44,75.91,0,0,5.54,1,1,52.46
Electronics,Air,Clear,2168.27,479.79,2.07,3.3,7.67,7,18.48,1.09,0.9,35.0,109.45,0,0,12.46,0,0,82.09
Pharma,Road,Rain,478.37,192.19,3.25,4.54,2.08,3,13.51,1.41,0.43,33.59,77.89,1,0,17.49,3,0,81.92
Clothing,Road,Fog,2816.63,418.0,3.54,4.57,8.12,9,5.74,1.48,0.49,25.49,91.78,0,0,14.82,0,0,116.05
Furniture,Road,Rain,976.41,27.12,2.51,9.76,8.61,8,1.72,0.69,1.36,7.67,113.31,0,0,9.73,1,0,112.9
Electronics,Road,Clear,2396.53,241.06,2.67,7.08,1.53,7,8.67,0.47,1.02,3.43,106.95,0,0,3.19,1,0,86.58
Food,Air,Clear,1588.18,184.78,3.4,1.33,3.94,6,9.61,0.33,0.38,2.56,112.91,0,0,22.78,1,0,67.09
Clothing,Road,Clear,318.71,103.22,2.3,2.99,4.42,6,3.09,1.35,0.67,42.5,102.73,0,0,21.51,3,0,77.06
Pharma,Air,Rain,1768.63,219.76,1.39,6.55,9.6,7,9.86,0.65,1.21,6.79,89.11,0,0,17.15,1,0,107.03
Automobile,Sea,Clear,2740.92,222.41,1.19,7.42,4.34,6,13.7,0.34,1.0,23.85,87.38,0,0,18.33,1,0,108.5
Clothing,Rail,Rain,513.84,404.46,3.79,4.43,3.3,0,9.77,1.02,1.35,39.78,77.25,0,0,21.16,0,0,69.0
Electronics,Sea,Clear,997.86,434.59,2.49,8.71,6.58,4,4.92,0.78,0.64,22.67,92.05,0,1,15.93,2,0,112.36
Pharma,Sea,Clear,1345.52,328.82,3.16,9.49,2.43,1,19.19,1.34,1.35,1.53,115.01,0,0,16.24,0,1,104.87
Furniture,Road,Clear,861.41,317.06,2.41,6.53,6.63,4,2.74,0.42,0.81,38.98,108.43,1,0,4.91,4,1,86.36
Clothing,Road,Clear,2834.15,55.98,4.11,6.06,5.13,4,12.36,1.01,1.46,5.44,71.82,0,0,16.6,0,0,95.15
Electronics,Air,Storm,1163.63,288.06,2.53,7.76,7.58,5,14.72,1.25,1.32,24.92,79.57,0,0,19.97,1,0,118.63
Food,Sea,Clear,1991.28,137.95,4.94,8.04,6.21,5,5.76,1.34,1.41,39.5,103.26,0,0,22.32,2,0,125.77
Automobile,Sea,Rain,710.55,148.09,1.29,2.94,2.59,5,7.9,0.39,1.3,27.8,81.0,0,0,14.65,1,0,74.28
Pharma,Road,Clear,698.13,48.29,0.78,5.35,9.44,6,9.01,1.24,1.19,10.35,90.4,0,0,18.61,1,0,93.49
Clothing,Road,Clear,568.76,318.3,1.93,5.03,5.04,1,13.12,1.25,1.26,6.88,116.13,0,0,8.87,1,0,60.05
Clothing,Road,Clear,1332.7,292.32,4.6,9.47,7.7,3,10.49,0.61,0.97,47.35,116.37,0,0,17.32,1,0,100.61
Furniture,Rail,Clear,1621.93,110.92,4.28,2.01,5.79,4,4.23,0.66,0.77,12.67,83.16,0,0,19.12,2,0,73.99
Furniture,Air,Clear,81.71,132.26,1.31,9.49,8.79,9,17.9,1.4,0.79,1.66,99.19,1,0,8.26,0,0,91.65
Food,Road,Storm,2507.12,386.73,3.04,6.15,4.03,6,7.61,1.05,0.81,18.5,105.08,1,0,2.5,1,0,110.39
Automobile,Road,Clear,1562.62,396.67,2.99,3.59,6.75,1,7.96,0.34,0.91,35.5,80.87,0,1,7.02,3,0,69.97
Food,Air,Clear,513.77,247.05,1.54,8.82,1.71,7,16.1,1.28,1.11,20.52,74.44,0,0,19.0,3,0,99.7
Electronics,Rail,Storm,248.52,75.35,1.25,1.45,1.7,1,10.94,1.46,0.74,8.44,86.38,1,0,22.11,3,0,77.45
Electronics,Road,Clear,236.44,28.74,2.01,3.87,8.59,4,5.01,0.79,1.12,10.12,117.9,0,0,7.04,2,1,64.37
Food,Sea,Rain,810.05,136.46,3.96,7.77,8.37,8,18.33,1.2,0.7,34.74,112.02,0,0,22.56,1,0,124.16
Automobile,Air,Clear,1522.91,365.86,1.04,8.45,4.23,1,16.2,1.17,0.99,44.9,75.65,0,0,11.75,1,0,86.42
Food,Rail,Clear,2587.71,300.81,2.28,2.51,7.08,1,12.2,0.78,1.09,13.6,113.8,1,0,23.83,2,0,85.52
Automobile,Rail,Rain,2713.75,359.34,2.46,9.48,8.46,1,10.49,0.84,0.77,44.65,103.09,0,0,14.28,1,0,119.61
Automobile,Road,Fog,2505.37,236.4,4.7,1.48,2.29,6,13.67,1.05,0.95,7.03,94.7,0,0,3.79,0,0,87.12
Pharma,Road,Clear,1019.26,377.6,1.59,4.9,9.86,4,7.54,0.51,0.32,5.37,96.69,0,0,17.92,1,0,77.37
Automobile,Rail,Clear,954.35,240.92,0.2,1.88,8.97,8,14.03,0.91,0.87,9.0,106.97,0,0,8.11,3,0,72.64
Furniture,Road,Clear,2963.0,42.92,3.5,1.88,7.22,3,1.25,0.7,1.29,19.44,95.08,0,0,14.17,3,0,90.18
Automobile,Rail,Clear,2059.78,40.85,3.8,9.23,5.89,0,8.3,0.4,0.66,26.15,96.23,0,0,6.31,0,0,93.05
Automobile,Rail,Fog,949.61,415.92,3.54,9.14,9.05,7,12.54,0.54,0.62,11.79,86.49,1,0,17.32,2,0,117.29
Automobile,Rail,Clear,1020.79,315.18,3.53,6.54,7.65,5,12.62,0.9,1.23,4.85,107.83,0,0,2.08,4,0,75.46
Electronics,Road,Storm,1332.2,140.28,2.47,9.7,6.26,8,1.89,1.39,0.68,35.59,86.52,0,0,13.45,1,1,143.86
Furniture,Road,Clear,1884.33,378.83,0.19,5.42,9.02,2,14.53,1.33,0.77,14.77,113.95,0,0,2.47,3,0,78.26
Furniture,Air,Storm,2699.04,68.73,3.68,8.05,2.9,9,2.15,1.4,1.29,26.67,108.22,0,0,21.89,2,0,149.86
Food,Road,Rain,635.01,322.98,4.69,1.88,3.2,6,14.95,0.59,0.38,36.93,94.07,1,0,3.75,1,0,63.94
Pharma,Rail,Storm,298.99,494.75,0.87,4.56,9.37,0,18.28,1.29,1.42,5.95,98.74,0,0,8.8,4,0,69.78
Automobile,Rail,Clear,1246.97,75.86,0.43,5.64,1.6,1,19.52,0.71,0.54,25.11,117.18,0,0,5.99,2,0,62.18
Clothing,Road,Storm,774.09,71.83,1.4,8.0,1.42,4,12.27,1.45,0.56,40.23,94.87,0,0,17.28,0,0,103.32
Pharma,Rail,Rain,1749.3,234.45,4.26,4.01,8.13,9,14.42,0.61,1.23,17.9,108.72,1,0,1.56,1,0,81.2
Pharma,Road,Rain,2112.68,321.69,0.62,9.82,4.73,1,5.06,0.7,0.45,25.97,79.28,0,0,4.69,1,0,91.16
Furniture,Road,Storm,966.67,14.25,3.6,7.61,9.25,7,7.8,0.31,0.47,45.17,84.76,0,0,15.54,1,0,121.16
Pharma,Sea,Rain,2072.08,250.34,0.41,5.8,3.71,4,0.74,1.41,0.41,35.99,76.48,0,0,5.5,0,0,92.47
Automobile,Sea,Storm,1062.28,42.5,0.26,3.98,3.59,8,16.06,1.04,1.03,19.38,89.24,0,0,16.92,2,0,101.35
Automobile,Air,Clear,1923.16,121.42,4.47,6.78,9.61,2,13.95,0.67,1.31,7.8,116.54,0,0,4.0,1,0,72.2
Electronics,Sea,Rain,1917.53,356.49,3.88,7.06,5.98,5,5.53,0.47,0.52,13.8,72.92,0,0,15.76,0,0,102.71
Automobile,Air,Storm,870.57,369.69,3.03,7.11,6.52,3,10.06,1.07,0.77,27.0,106.85,0,0,11.24,2,0,98.18
Automobile,Road,Clear,1925.38,365.14,0.94,6.28,9.08,6,14.7,0.42,1.12,8.82,112.3,0,0,0.58,1,0,75.41
Furniture,Road,Clear,1173.82,33.51,1.47,4.6,4.43,6,13.5,0.47,0.67,17.75,96.21,0,0,14.66,1,1,81.13
Automobile,Sea,Fog,1042.54,393.59,0.34,8.35,3.23,4,6.75,0.91,0.53,31.7,105.93,0,0,12.49,2,0,98.29
Electronics,Road,Clear,903.4,216.67,3.26,3.32,6.14,9,7.71,0.46,1.39,44.78,115.8,0,0,7.58,0,0,81.8
Clothing,Air,Clear,1069.65,238.18,3.46,6.63,4.69,4,3.51,0.41,1.14,11.57,101.49,0,0,19.23,4,0,89.88
Furniture,Air,Clear,2370.9,210.43,1.7,5.25,2.47,3,3.18,1.13,1.41,12.94,115.95,0,0,10.4,3,0,93.53
Clothing,Rail,Storm,773.28,428.65,1.76,9.04,2.07,8,8.39,0.85,1.24,33.22,82.94,0,0,12.98,1,0,115.8
Furniture,Road,Fog,2061.86,340.31,3.18,6.31,7.53,6,9.85,0.36,0.72,6.66,70.9,0,0,22.9,0,0,106.47
Food,Road,Fog,2706.83,250.51,4.73,8.7,1.31,5,19.04,0.36,0.33,8.76,78.69,0,0,16.25,4,0,114.51
Pharma,Road,Rain,1083.77,417.31,2.03,9.58,5.75,2,10.36,1.45,0.86,9.21,116.9,0,0,1.15,2,1,94.06
Food,Air,Rain,137.06,402.88,2.52,2.14,3.97,4,4.2,0.37,0.74,31.58,94.18,0,0,19.99,3,1,72.76
Automobile,Rail,Clear,122.59,3.52,3.52,6.0,2.36,3,3.8,0.83,0.91,22.95,93.33,0,0,4.14,1,1,53.29
Clothing,Air,Clear,461.53,239.96,1.78,8.96,9.02,4,7.23,0.77,0.31,6.75,112.4,0,0,16.09,2,1,91.17
Automobile,Rail,Clear,374.63,22.08,4.36,8.85,7.66,1,18.42,0.9,0.94,13.83,110.75,0,0,20.68,0,0,85.13
Pharma,Road,Clear,2256.85,154.29,4.25,2.76,7.96,4,15.98,1.36,0.8,22.66,92.71,0,0,21.38,1,0,91.9
Furniture,Sea,Storm,919.81,402.11,3.4,5.33,4.92,6,10.13,1.11,1.12,15.55,107.1,0,0,3.78,3,0,104.32
Pharma,Air,Storm,1974.9,472.08,2.73,3.01,6.84,9,19.14,1.23,0.62,20.57,95.45,0,0,11.4,4,0,106.23
Electronics,Road,Rain,175.24,121.79,4.92,9.07,1.81,9,4.7,0.81,1.28,44.1,86.53,0,0,10.49,4,0,109.48
Pharma,Road,Fog,922.43,11.69,3.54,1.03,2.25,2,8.97,0.98,1.42,46.38,91.3,0,0,11.41,2,0,72.59
Electronics,Rail,Fog,740.73,201.77,3.25,2.97,3.9,3,0.52,0.38,0.5,47.63,104.57,0,0,2.9,0,0,62.3
Pharma,Sea,Rain,866.8,168.22,4.4,4.68,5.12,0,17.4,0.39,1.08,2.23,83.14,0,0,16.53,0,0,73.05
Electronics,Road,Clear,612.62,338.81,2.82,2.99,1.84,8,3.58,1.34,1.06,34.59,78.15,0,0,14.38,1,0,65.02
Clothing,Rail,Clear,1872.85,248.03,1.29,9.76,6.08,2,19.18,0.91,0.71,44.95,82.25,0,0,18.95,3,0,119.34
Automobile,Road,Rain,2004.88,200.02,0.78,3.2,3.16,9,10.39,0.43,0.44,43.49,114.47,0,0,22.34,1,0,91.83
Automobile,Road,Clear,487.97,115.55,2.41,4.26,7.97,5,19.88,0.39,1.1,2.17,100.62,1,0,8.25,1,0,61.41
Food,Air,Clear,2236.38,414.41,2.63,2.57,1.0,0,11.06,1.4,0.85,38.94,85.83,0,0,16.79,4,0,75.76
Automobile,Air,Fog,787.63,124.95,4.16,9.34,8.79,4,9.38,0.5,0.53,22.57,100.52,0,0,13.09,1,0,103.78
Furniture,Rail,Clear,884.62,28.31,0.78,4.7,7.59,9,9.71,0.82,0.37,40.96,112.29,0,0,22.66,2,0,93.9
Pharma,Road,Clear,2494.98,282.74,3.44,3.36,5.92,4,16.8,1.24,1.44,34.63,90.13,0,0,18.93,4,0,103.63
Food,Road,Rain,2708.44,159.36,1.59,3.22,7.64,4,7.57,1.34,0.79,21.68,79.27,0,0,5.21,3,0,97.6
Furniture,Road,Rain,2483.03,356.51,4.7,6.27,4.28,0,17.14,1.34,1.2,14.88,82.64,0,0,7.25,1,0,71.33
Furniture,Road,Clear,485.9,41.35,2.41,9.8,2.46,6,17.78,1.36,0.46,1.04,107.06,0,0,12.06,2,0,91.7
Electronics,Road,Clear,2997.84,483.19,3.15,9.77,1.08,4,6.13,0.48,1.05,26.39,81.72,0,0,5.56,1,0,113.19
Automobile,Road,Fog,2032.86,94.24,3.29,9.84,5.94,0,18.57,0.81,0.33,19.76,85.18,0,0,9.51,4,0,106.8
Clothing,Road,Clear,1556.47,179.17,0.55,4.48,3.63,7,4.22,1.09,0.81,16.95,115.89,0,0,12.04,1,0,82.65
Clothing,Road,Storm,2866.78,241.0,4.28,9.23,2.91,5,16.62,1.38,0.59,23.01,100.47,1,0,22.54,1,0,140.97
Food,Air,Clear,2461.27,445.17,0.9,5.0,8.8,6,3.79,0.81,0.7,23.38,75.5,0,0,1.74,3,0,88.92
Clothing,Road,Clear,2090.64,361.55,2.05,5.6,7.53,3,14.5,1.05,1.05,28.09,109.58,0,0,19.56,1,0,88.62
Pharma,Road,Clear,2523.27,73.27,3.4,5.68,9.91,0,19.52,1.45,0.73,31.95,81.34,0,0,11.28,1,0,88.14
Clothing,Air,Storm,1187.13,219.87,0.37,1.57,6.95,7,1.98,1.46,0.6,8.69,93.95,0,0,21.18,1,0,90.96
Food,Road,Storm,2069.09,271.91,2.94,2.59,9.06,0,4.33,1.1,1.16,11.44,70.59,0,0,1.14,0,0,72.95
Clothing,Air,Clear,612.21,351.36,2.11,8.97,2.07,8,7.38,0.9,0.95,22.47,117.86,1,0,13.53,2,1,111.93
Pharma,Road,Clear,2964.6,286.34,0.41,9.07,7.5,5,7.52,0.99,1.05,13.49,111.45,0,1,15.59,1,0,134.36
Electronics,Road,Clear,1787.5,229.21,3.66,2.82,1.78,4,4.05,1.38,0.76,38.35,119.23,1,0,22.18,2,0,89.48
Food,Road,Storm,2452.0,383.01,2.56,3.72,1.85,1,10.19,1.13,0.61,23.62,101.89,0,0,13.21,3,0,77.91
Electronics,Road,Clear,1251.65,189.65,1.59,8.47,8.72,7,15.92,0.59,0.6,26.16,108.28,0,0,20.02,0,0,107.25
Electronics,Air,Clear,2287.84,493.6,0.51,2.84,4.24,8,16.15,0.53,1.49,27.36,75.99,0,0,23.43,3,0,98.54
Electronics,Sea,Clear,1192.79,473.94,2.78,8.93,3.85,2,9.59,0.5,1.1,35.13,87.9,0,1,7.61,1,0,91.08
Furniture,Road,Rain,1790.52,353.98,1.6,8.41,2.65,9,6.61,1.02,0.42,34.19,87.01,0,0,23.83,1,0,124.37
Automobile,Road,Storm,2345.5,441.42,4.74,8.27,5.36,7,5.21,1.06,1.07,33.31,75.3,0,1,4.22,1,0,128.84
Furniture,Rail,Rain,393.6,197.19,3.0,9.03,2.83,9,14.45,0.4,0.42,4.83,86.98,0,0,16.44,3,0,100.29
Automobile,Road,Clear,1102.52,291.15,1.5,8.98,5.84,4,2.16,1.2,0.66,36.33,102.32,0,0,15.64,2,0,97.53
Electronics,Rail,Clear,1657.56,137.05,2.69,9.25,6.94,9,11.13,0.96,1.31,38.17,79.87,0,0,3.13,5,0,125.23
Food,Road,Clear,1035.29,442.93,2.74,8.92,6.89,3,11.06,0.66,1.4,31.19,84.13,1,0,2.15,1,0,88.2
Automobile,Sea,Clear,962.04,236.04,3.66,6.46,4.28,9,2.7,1.45,1.33,41.05,86.3,0,0,14.45,2,0,107.73
Pharma,Road,Storm,880.91,268.54,4.52,2.42,7.34,8,9.69,0.89,0.97,15.35,117.17,0,0,10.01,0,0,75.53
Pharma,Road,Clear,721.99,432.42,4.82,6.48,3.39,6,5.37,0.87,0.84,4.68,109.12,0,0,2.01,1,0,58.42
Clothing,Sea,Clear,2554.27,398.84,3.62,9.48,8.27,3,3.75,0.83,0.59,15.36,76.6,0,0,18.05,4,0,128.3
Automobile,Air,Rain,2774.88,161.55,2.77,9.71,1.0,4,2.1,0.97,1.26,34.85,115.66,1,0,2.57,3,0,106.35
Food,Air,Rain,2115.5,44.63,1.2,7.56,9.7,4,4.27,0.36,1.05,37.34,109.31,0,0,19.49,0,0,97.28
Furniture,Rail,Rain,138.5,81.88,2.07,7.24,4.9,1,13.08,0.36,0.94,30.09,90.81,0,0,2.44,3,0,67.87
Electronics,Air,Storm,2369.39,170.21,2.5,9.45,4.01,4,14.72,0.85,0.61,8.94,82.43,0,0,17.14,0,0,106.36
Clothing,Road,Rain,1619.22,153.34,0.73,3.62,6.62,2,4.96,1.22,0.67,35.51,86.52,0,0,20.88,0,1,101.8
Pharma,Air,Storm,2286.42,20.12,1.36,2.36,8.91,4,11.69,0.92,0.59,1.52,94.51,0,0,20.5,1,0,101.19
Furniture,Road,Rain,1340.15,216.6,4.92,3.61,4.17,0,7.75,1.41,1.07,3.74,103.49,1,0,18.0,0,0,75.66
Furniture,Rail,Clear,171.78,53.82,3.81,9.54,1.63,7,11.06,1.06,1.03,5.38,113.95,0,0,4.52,1,0,87.39
Electronics,Sea,Clear,2061.15,111.22,2.46,2.91,4.18,8,5.3,0.31,0.51,12.62,73.94,1,0,11.37,1,0,80.67
Automobile,Road,Fog,1360.18,393.95,1.21,3.02,1.05,8,1.4,0.84,0.7,21.91,88.96,0,0,8.5,1,0,80.21
Pharma,Road,Fog,2628.43,247.94,2.91,2.74,2.67,7,6.87,0.96,0.32,26.4,99.24,0,0,10.98,3,0,98.12
Food,Road,Rain,2227.51,187.1,1.24,5.36,1.47,1,3.63,0.32,0.51,25.18,102.75,0,0,17.91,2,0,83.88
Furniture,Road,Rain,1110.71,93.53,1.05,8.17,4.49,1,14.82,0.43,0.93,35.17,88.31,0,0,20.57,3,0,97.82
Electronics,Sea,Clear,2186.04,433.27,0.56,4.44,1.54,9,14.74,1.5,0.75,7.09,85.75,0,0,15.77,4,0,102.57
Food,Road,Rain,1510.87,451.94,1.79,1.9,9.86,4,1.92,1.11,1.0,29.35,93.29,0,0,0.33,2,0,74.32
Automobile,Road,Fog,638.36,259.82,2.75,7.66,8.04,5,8.24,1.11,0.81,23.19,87.68,0,0,3.04,0,0,79.52
Pharma,Rail,Storm,1288.66,460.72,0.88,6.49,4.78,4,2.31,0.98,0.41,32.88,101.95,0,0,8.18,2,0,92.57
Automobile,Sea,Clear,706.56,232.93,1.08,5.31,8.11,0,14.44,1.38,1.1,46.82,77.23,0,0,21.8,3,0,97.4
Furniture,Air,Clear,64.68,54.51,2.02,9.68,4.76,0,0.86,0.65,1.43,18.46,81.05,0,0,14.52,1,0,86.85
Food,Air,Clear,778.05,9.5,2.5,5.23,6.82,7,9.04,1.32,0.63,12.58,73.44,0,1,19.26,1,0,94.82
Food,Air,Clear,668.09,65.06,3.84,7.59,8.39,4,3.47,0.42,0.55,41.34,82.2,0,0,11.03,1,0,85.26
Food,Sea,Clear,62.79,311.71,2.88,2.43,7.16,7,13.46,1.47,1.31,14.71,105.47,1,0,22.37,0,0,82.37
Furniture,Air,Rain,2362.58,161.13,3.13,4.75,1.76,2,4.67,1.28,0.63,41.46,72.63,0,0,6.66,2,0,74.41
Furniture,Air,Clear,277.11,324.51,3.51,2.91,1.39,4,8.43,0.3,0.75,3.67,99.05,0,0,20.71,0,0,50.37
Automobile,Road,Storm,1374.72,254.48,2.31,4.13,6.13,1,0.6,0.37,0.57,3.96,90.69,0,0,4.15,3,0,70.31
Clothing,Road,Rain,1282.76,167.17,1.78,5.32,2.77,7,19.78,0.4,1.05,30.46,109.77,0,0,17.41,0,0,95.53
Automobile,Air,Storm,585.15,110.12,4.02,2.57,9.86,0,15.2,1.12,0.84,14.31,111.71,0,0,16.42,1,0,72.62
Pharma,Sea,Storm,2902.26,41.44,4.16,8.23,1.15,4,3.71,1.12,0.74,19.42,117.17,0,0,2.69,2,0,116.87
Electronics,Sea,Rain,1831.01,391.41,0.85,4.38,7.74,6,9.15,0.4,0.61,1.84,91.94,0,0,20.19,3,0,106.34
Food,Sea,Storm,2449.86,409.68,4.77,9.07,1.38,9,10.22,0.84,1.45,25.45,117.09,0,0,19.87,2,0,147.05
Clothing,Air,Clear,1513.61,271.18,4.66,7.07,6.5,4,4.91,0.59,0.4,1.67,75.94,0,0,20.81,3,0,89.08
Electronics,Rail,Fog,2182.3,79.39,4.37,2.59,4.78,2,2.16,0.78,0.63,41.23,74.88,1,0,6.25,2,0,86.83
Clothing,Rail,Clear,2910.85,132.5,2.17,6.78,6.7,3,11.6,0.59,0.72,32.73,83.87,0,0,3.44,1,0,93.2
Automobile,Air,Fog,1077.8,477.62,4.23,1.21,7.86,8,16.78,0.8,1.28,21.61,111.74,0,0,11.05,2,0,83.06
Furniture,Road,Clear,1537.58,113.74,3.18,8.27,1.3,4,11.65,1.07,1.44,31.1,73.49,0,0,20.6,3,0,103.78
Food,Road,Clear,1567.88,29.35,1.11,9.77,5.69,2,12.8,0.48,0.31,23.15,85.64,0,0,19.18,1,0,105.54
Automobile,Sea,Clear,2976.38,275.47,3.9,7.1,9.48,6,12.02,0.56,1.45,8.62,116.03,0,0,16.55,0,0,114.74
Electronics,Road,Rain,737.64,131.7,2.09,9.34,2.96,5,9.4,0.73,1.45,26.18,98.02,0,0,23.63,0,0,110.02
Electronics,Sea,Clear,2042.16,478.76,1.53,3.65,1.7,2,3.37,1.48,1.39,44.15,71.89,0,0,15.58,1,0,86.92
Electronics,Road,Rain,457.78,287.81,4.4,4.81,7.94,9,4.45,1.06,1.4,30.83,84.21,1,0,21.59,5,1,120.9
Electronics,Rail,Storm,2784.87,482.94,4.33,4.82,7.67,2,6.89,1.4,1.26,39.52,102.35,0,0,10.94,3,0,115.52
Electronics,Air,Clear,1791.63,393.0,4.34,2.01,4.51,3,6.24,1.33,0.66,12.78,70.96,0,0,19.01,1,0,76.24
Clothing,Rail,Rain,2585.26,361.82,4.31,8.17,8.47,9,10.67,0.97,1.26,20.48,94.41,0,0,16.45,1,0,131.09
Automobile,Road,Clear,2690.96,415.35,2.82,5.46,5.9,2,8.71,0.63,0.89,14.0,119.72,1,0,1.14,0,0,73.22
Food,Sea,Rain,1693.47,302.84,3.12,5.41,5.28,5,12.92,0.61,0.95,36.4,86.68,0,0,8.95,2,0,82.85
Furniture,Air,Rain,2061.92,6.55,4.75,7.02,8.4,0,16.89,0.98,0.33,30.98,81.48,0,0,19.75,1,0,94.14
Furniture,Road,Clear,2111.23,196.84,0.73,2.54,1.88,0,1.46,0.97,0.87,27.89,74.13,0,1,9.06,1,1,79.62
Automobile,Air,Fog,1408.42,110.29,4.05,8.29,3.02,6,9.52,0.97,0.63,1.35,71.31,0,0,7.03,2,0,93.46
Automobile,Road,Rain,1332.77,217.72,2.68,4.29,5.0,7,4.71,0.74,0.7,41.34,110.55,1,0,0.64,2,0,82.8
Furniture,Road,Storm,599.26,235.8,4.89,1.72,1.77,3,18.25,1.15,0.87,43.9,83.78,0,0,3.72,2,0,76.39
Furniture,Road,Rain,1182.55,64.79,3.23,2.71,9.96,6,11.12,0.79,1.13,34.0,71.54,0,0,3.78,0,0,75.72
Clothing,Sea,Storm,2972.73,12.69,0.9,3.28,3.82,1,17.74,0.72,0.39,42.55,98.73,0,0,22.33,1,0,117.35
Pharma,Air,Clear,846.09,69.96,4.1,2.6,9.53,8,13.57,0.91,1.03,40.42,80.66,0,0,3.19,2,1,83.28
Food,Air,Clear,2299.2,428.86,3.4,3.18,5.27,8,3.14,1.37,0.66,39.51,75.11,0,0,11.75,1,1,101.48
Electronics,Road,Clear,225.08,378.17,0.83,9.96,9.32,6,17.01,1.15,1.29,35.64,90.06,0,0,18.62,0,0,114.36
Pharma,Road,Storm,1429.03,399.65,0.14,5.84,4.96,4,6.69,1.28,1.37,4.0,75.22,0,0,11.82,1,0,90.3
Automobile,Sea,Clear,222.31,138.88,2.76,6.43,8.33,6,15.0,0.94,0.42,7.06,74.86,0,0,9.9,1,0,81.19
Furniture,Air,Fog,1453.61,118.81,1.28,2.49,7.76,6,10.42,0.95,1.35,40.62,92.89,0,0,21.72,0,0,86.07
Pharma,Sea,Clear,131.28,19.65,4.35,1.4,9.52,2,14.74,1.33,0.95,19.71,76.32,0,1,21.55,0,0,74.41
Food,Road,Clear,1859.22,236.66,1.33,3.79,6.74,6,10.79,0.48,0.5,36.51,96.7,1,0,20.26,5,0,103.7
Automobile,Road,Clear,1780.2,191.82,3.35,7.93,3.04,2,18.6,1.45,0.31,10.35,105.14,0,0,11.73,4,0,102.22
Electronics,Sea,Rain,2403.64,418.11,1.79,6.03,5.88,2,10.45,0.92,1.03,31.55,81.97,0,1,13.65,7,0,121.96
Electronics,Air,Fog,1770.69,341.25,1.82,1.1,2.31,6,1.68,0.69,0.94,12.36,107.6,0,0,4.34,1,0,72.39
Food,Road,Clear,2781.7,73.0,0.99,8.1,4.01,6,9.32,0.68,1.16,21.46,81.0,1,0,20.54,3,0,125.78
Food,Road,Rain,2360.16,493.59,2.56,1.94,8.1,5,19.37,0.35,0.91,14.49,113.23,1,0,4.42,2,0,72.56
Furniture,Rail,Clear,441.34,385.55,2.94,4.96,1.13,6,15.9,0.65,0.33,22.05,73.5,0,0,4.23,2,0,55.85
Electronics,Road,Rain,833.15,360.4,2.95,10.0,6.59,9,12.82,0.81,0.82,47.16,114.2,0,0,23.26,3,0,124.28
Automobile,Air,Clear,127.38,109.09,4.3,2.09,7.24,9,3.45,1.14,1.31,32.34,84.56,1,0,8.5,2,0,70.55
Pharma,Road,Clear,1189.1,452.67,3.3,8.34,9.1,4,4.07,0.63,0.76,41.55,101.9,1,0,23.05,4,0,125.87
Automobile,Road,Rain,1553.13,237.49,3.73,8.19,7.81,8,14.59,1.09,0.61,23.62,81.95,0,0,22.51,1,0,116.07
Clothing,Sea,Rain,2840.54,149.53,1.68,5.01,4.63,0,14.75,1.02,0.65,1.77,85.33,0,0,21.69,1,0,97.72
Clothing,Road,Clear,1590.69,327.76,2.16,9.89,7.89,4,7.78,0.84,0.43,34.59,89.47,0,0,21.85,2,0,118.79
Food,Air,Clear,2354.03,106.66,0.19,3.77,6.63,2,19.89,0.31,0.76,46.47,92.03,0,0,14.47,0,0,72.77
Furniture,Rail,Rain,840.67,453.88,0.49,3.84,6.28,7,13.98,1.01,1.23,14.46,73.98,0,0,1.08,0,0,69.17
Clothing,Road,Storm,501.82,427.32,1.99,2.37,1.66,6,17.94,0.43,0.37,31.96,71.95,0,0,20.95,2,0,83.02
Electronics,Road,Fog,2441.97,232.99,1.13,4.33,5.86,0,1.4,0.32,1.4,21.45,111.7,0,0,23.44,1,1,105.75
Automobile,Air,Storm,779.9,96.14,4.08,3.67,8.8,8,12.66,0.42,0.84,26.41,97.16,0,0,19.12,4,0,115.8
Automobile,Road,Fog,2620.44,248.76,3.41,6.44,4.93,4,15.12,0.53,1.09,4.23,77.21,1,0,15.61,0,0,103.78
Food,Road,Clear,551.06,75.42,4.85,1.37,7.34,0,16.05,0.88,0.75,36.43,85.48,0,0,4.93,6,0,62.34
Pharma,Road,Clear,2562.18,135.65,4.45,3.79,9.13,0,13.61,1.2,0.62,41.3,74.16,0,0,22.51,1,0,95.92
